held_out_codec,fcg_auc,static_quad_auc,dynamofe_zero_shot_auc,delta_vs_static,delta_vs_fcg,mean_fcg_weight,mean_tall_weight,mean_f3net_weight,mean_xception_weight
jpeg40,96.96428571428571,98.0829081632653,98.08035714285714,-0.0025510204081626853,1.1160714285714306,0.40058183670043945,0.19980847835540771,0.20013085007667542,0.19947893917560577
webp50,94.74489795918367,96.28954081632652,96.29336734693878,0.0038265306122582388,1.5484693877551052,0.4011228382587433,0.19977957010269165,0.20002053678035736,0.19907712936401367
h264_crf35,90.25000000000001,93.16836734693878,93.16326530612245,-0.0051020408163253705,2.9132653061224403,0.40100499987602234,0.20115455985069275,0.19924981892108917,0.19859126210212708
h265_crf32,91.55229591836735,94.59693877551022,94.59311224489795,-0.0038265306122724496,3.040816326530603,0.40098828077316284,0.20105436444282532,0.199419766664505,0.19853752851486206
resize075_then_h264_crf30,91.74744897959182,95.49617346938776,95.49744897959182,0.0012755102040671318,3.75,0.4009269177913666,0.1995965540409088,0.2001955509185791,0.19928096234798431
h264_crf30_then_resize075,93.55229591836735,96.84311224489795,96.84566326530611,0.0025510204081626853,3.2933673469387656,0.4002327620983124,0.20031899213790894,0.19992952048778534,0.1995190680027008
