Comparison,Delta_pp,CI_95_low,CI_95_high,P_Delta_gt_0,Stat_Sig
Clean Video: DynaMoFE vs Static Quad,-0.003826530612244028,-0.030612244897952223,0.02426658163266058,33.53,False
Clean Video: DynaMoFE vs FCG Alone,0.6887755102040813,0.22959183673469816,1.1760841836734708,99.89,True
Sealed Mean: DynaMoFE vs Static Quad,0.04336734693875144,-0.005739795918373147,0.09183673469388509,95.82000000000001,False
Sealed Mean: DynaMoFE vs FCG Alone,2.654336734693871,1.631584821428549,3.6745482568027166,100.0,True
H.264 CRF 35: DynaMoFE vs Static Quad,0.0535714285714306,-0.036989795918358936,0.14413265306122014,87.59,False
H.264 CRF 35: DynaMoFE vs FCG Alone,2.9719387755101963,1.4336734693877555,4.48086734693878,99.96000000000001,True
FCG!=TALL Disagree: DynaMoFE vs Static,-0.11940298507462899,-0.512388844749044,0.17164345028127714,28.32,False
FCG!=TALL Disagree: DynaMoFE vs FCG,4.029850746268664,-0.58308582753268,9.70878280047108,95.21,False
