model,canonical,jpeg40,webp50,h264_crf35,h265_crf32,resize075_then_h264_crf30,h264_crf30_then_resize075,Sealed Mean,Worst Codec,Retention (%)
TALL (Local Seed 42),98.38010204081633,89.73852040816327,92.47257653061224,76.39923469387755,84.8233418367347,90.26977040816325,91.32589285714286,87.5048894557823,76.39923469387755,77.52131118727479
ForensicsAdapter,95.60204081632652,88.42091836734693,88.93112244897961,86.10076530612244,85.92474489795919,86.73724489795919,88.3061224489796,87.40348639455783,85.92474489795919,82.02151860968155
Xception,98.55102040816325,93.37117346938774,91.32780612244899,87.88010204081633,88.7716836734694,90.33545918367346,93.11607142857143,90.80038265306122,87.88010204081633,84.0360970996217
F3Net,98.60459183673468,93.87372448979592,92.20663265306122,87.34693877551021,90.5829081632653,90.69897959183673,92.7984693877551,91.25127551020408,87.34693877551021,84.87114890043564
FCG (Official CVPR 2025),98.65561224489797,96.96428571428571,94.74489795918367,90.25000000000001,91.55229591836735,91.74744897959182,93.55229591836735,93.13520408163265,90.25000000000001,88.65411838724897
Static Tri-Expert,99.37755102040816,98.05229591836735,96.42219387755104,92.78698979591837,94.54336734693878,95.3533163265306,96.60331632653062,95.62691326530613,92.78698979591837,92.40416408348834
Static Quad-Expert,99.34821428571429,98.0829081632653,96.28954081632652,93.16836734693878,94.59693877551022,95.49617346938776,96.84311224489795,95.74617346938776,93.16836734693878,92.7007676600584
DynaMoFE (Adaptive Gating OOF),99.3341836734694,98.02423469387755,96.23469387755102,93.07142857142857,94.57397959183673,95.41326530612244,96.78698979591836,95.68409863945577,93.07142857142857,92.60130651360804
