Model,Sealed_Mean,Delta_Sealed,H264_AUC,H264_Delta,Disagreement_AUC,Disagreement_Delta,Top1_Accuracy,Top2_Recall,Pairwise_Accuracy,Kendall_Tau,Spearman_Rho,Oracle_Recovery_Pct,L1_Movement
1. Baseline Residual Router (Unweighted Rank),95.78550170068029,0.03932823129252938,93.19642857142857,0.028061224489789538,93.98507462686567,-0.004975124378120199,14.387755102040817,36.224489795918366,43.42517006802722,-0.13149659863945581,-0.15412244897959185,0.9614385199046798,0.060415022
2. Confidence-Weighted Rank (c_max=1.0),95.69005102040815,-0.0561224489796075,93.0688775510204,-0.09948979591837315,93.4278606965174,-0.5621890547263888,14.897959183673471,40.83673469387755,45.85034013605442,-0.08299319727891158,-0.09551020408163265,-1.3719987527287916,0.08730586
3. Confidence-Weighted Rank (c_max=2.0),95.68643707482994,-0.05973639455781665,93.06377551020408,-0.10459183673469852,93.44776119402984,-0.5422885572139506,14.877551020408164,41.14285714285714,46.01020408163266,-0.07979591836734697,-0.09297959183673468,-1.460347157260004,0.09320046
4. Confidence-Weighted + Disagreement Weighting (scale=1.0),95.69685374149658,-0.04931972789117367,93.12244897959182,-0.04591836734695676,93.62935323383084,-0.36069651741294706,19.040816326530614,48.16326530612245,46.965986394557824,-0.060680272108843546,-0.06959183673469387,-1.2056958736102343,0.065057844
5. Confidence-Weighted + Disagreement Weighting (scale=2.0),95.66772959183675,-0.07844387755100968,93.02295918367348,-0.14540816326530148,93.67412935323382,-0.31592039800996474,22.20408163265306,50.69387755102041,47.81632653061225,-0.043673469387755105,-0.04718367346938775,-1.9176800748360363,0.07776882
"6. Confidence-Weighted + Disagreement (c_max=1.5, scale=1.5)",95.67538265306122,-0.07079081632653583,93.08545918367346,-0.08290816326531569,93.49253731343283,-0.4975124378109541,18.122448979591837,47.42857142857143,46.938775510204074,-0.06122448979591838,-0.07028571428571428,-1.730589335828007,0.08742428
