held_out_codec,fcg_auc,static_quad_auc,residual_dynamofe_auc,delta_vs_static,delta_vs_fcg,ci_95_low,ci_95_high,mean_fcg_w,mean_tall_w,mean_f3net_w,mean_xc_w,std_fcg_w,std_tall_w,std_f3net_w,std_xc_w,l1_movement,top1_acc,top2_rec
jpeg40,96.96428571428571,98.0829081632653,98.15051020408164,0.06760204081633958,1.1862244897959329,-0.01147959183673244,0.16071428571427795,0.40024832,0.18071002,0.1974104,0.22163142,0.009110946,0.0034874508,0.0054457295,0.0068780007,0.053174112,6.428571428571428,32.142857142857146
webp50,94.74489795918367,96.28954081632652,96.26913265306123,-0.02040816326528727,1.5242346938775597,-0.09438775510203393,0.05357142857144481,0.40226367,0.18318328,0.19584002,0.21871342,0.012224123,0.003717225,0.0065660253,0.00872092,0.05236813,7.428571428571429,24.0
h264_crf35,90.25000000000001,93.16836734693878,93.1875,0.01913265306122014,2.937499999999986,-0.08421556122448486,0.11607142857141675,0.40692374,0.1760097,0.19488345,0.22218312,0.009623026,0.0036064005,0.0051227794,0.0074573597,0.062084083,15.571428571428573,43.0
h265_crf32,91.55229591836735,94.59693877551022,94.7015306122449,0.1045918367346701,3.1492346938775455,0.008928571428583254,0.213010204081613,0.4153468,0.1767121,0.19280699,0.21513404,0.010153125,0.003684421,0.0033522567,0.0073232586,0.062254038,18.142857142857142,46.14285714285714
resize075_then_h264_crf30,91.74744897959182,95.49617346938776,95.49234693877551,-0.003826530612244028,3.744897959183689,-0.0816326530612205,0.07018494897960341,0.4101586,0.18431963,0.19290687,0.21261483,0.009585373,0.0017520367,0.004317237,0.0070042945,0.047819793,11.428571428571429,28.57142857142857
h264_crf30_then_resize075,93.55229591836735,96.84311224489795,96.85331632653062,0.010204081632664952,3.301020408163268,-0.06505102040814847,0.08290816326531569,0.41551736,0.18007106,0.19312423,0.21128726,0.010709305,0.0024837009,0.0035287642,0.0068488973,0.054815996,16.714285714285715,38.714285714285715
